Date/Time, City, State, Shape, Duration, Summary, Posted
2022-03-15T02:00:00Z, White Oak, OH, Circle, 2 minutes, Looked like 4 circles stuck together with white light some red, 4/22/2022
2022-03-09T21:22:00Z, Jackson, OH, Changing, 3.5 hrs, Color changing lights slowly approaching, 4/22/2022
2022-03-06T20:30:00Z, Fairview Park, OH, Light, I minute, Moving light, 4/22/2022
2022-03-06T09:45:00Z, Bay Village, OH, Sphere, ABOUT 3 MINUTES, 1 OR 2 SMALL SPHERES, 4/22/2022
2022-03-04T18:25:00Z, "Columbus, Ohio and surrounding areas", OH, Other, Everyday for over 3yrs, I realized over a year or so ago that all that was happening was coming from the sky., 4/22/2022
2022-02-15T23:00:00Z, Rutland, OH, , Approximately 2 minutes., We were standing in our driveway and noticed the Tr3b Black Manta hovering above the woodline. Slowly flew over top of us 60 or 70 fee, 3/4/2022
2022-02-06T19:00:00Z, Hilliard, OH, Orb, 30 seconds, "Saw ISS/Satellite/meteor shaped object cross the sky at a slow speed, flickering, with two identical objects jettisoned to the rear", 3/4/2022
2022-02-06T13:34:00Z, Negley, OH, Orb, 30 seconds, 2 white orbs streaked across clear sky., 3/4/2022
2022-02-01T21:31:00Z, Sharonville, OH, Unknown, 30 secods, Small completely black low flying Beatle shaped object apparently following or using railroad tracks traversed quarter mile in seconds, 3/4/2022
2022-01-31T19:38:00Z, Akron, OH, Sphere, 120 seconds, Object was bright white to bluish white. The night was completely clear but the object looked like it had a fog or cloud around it., 3/4/2022
2022-01-24T05:00:00Z, Columbus, OH, , 10 to 20 minutes or longe, Unknown vehicle Hovering over tree front west back east bottom cover with led lights two strobe north and south of wingspan, 9/9/2022
2022-01-22T20:56:00Z, , OH, , , "See my attached manuscript: The Grey Area, A Lifetime of High Strangeness", 3/4/2022
2022-01-21T20:44:00Z, Mayfield heights, OH, Triangle, 10 seconds, "2 triangular shaped objects moving quickly, smoothly and quietly together", 3/4/2022
2022-01-21T19:45:00Z, New Philadelphia, OH, Light, Three minutes 13 seconds, Took my dog out at 745pm and noticed what I thought was a low flying satellite and realized there were two bright objects with no sound, 3/4/2022
2022-01-07T16:52:00Z, Crestline, OH, Disk, 5-7 minutes, "My mother and I saw sky open, something large come beside the sun, then the sky closed back up.", 3/4/2022
2021-12-22T18:30:00Z, Columbus, OH, Other, 7-10 minutes, "Multiple red spheres/ovals, some in triangle formation. ((NUFORC Note: Video contains profanity. PD))", 3/4/2022
2021-12-16T23:45:00Z, Cincinnati, OH, Triangle, 14 seconds, Look like 1 or 3 crafts from North traveling south in tight formation. Seemed to bob up and down as they traveled., 12/19/2021
2021-12-16T21:45:00Z, Columbus, OH, Changing, 10 seconds, Stange lights, 3/4/2022
2021-12-12T19:00:00Z, Oxford, OH, Star, 15 seconds, What I thought was a shooting star bounced and sped away in a different direction faster than it was moving before, 3/4/2022
2021-12-10T23:29:00Z, Cumberland, OH, Circle, 2 minutes, Several blinking lights, 3/4/2022
2021-12-08T20:05:00Z, Warren, OH, Triangle, No more than 40 minutes, 4 different UFOs. Perceived through a hunch?, 12/22/2022
2021-12-04T18:30:00Z, Hilliard, OH, Formation, , "Approximately 3 dozen lights traveling in a line. Lights slowly traversed most of the sky, followed by multiple other objects.", 12/19/2021
